职位名称,薪资,工作经验,学历要求,城市,职位标签,技能要求,职位类型,公司名称,公司行业,公司规模,融资阶段,公司ID,BOSS姓名,BOSS职位,BOSS在线,BOSS认证,BOSS ID,职位ID,安全ID,期望ID,列表ID,福利,每周工作天数,最少工作月数,区域,商业区,经度,纬度,是否匿名,是否外地,是否优选,是否代理,是否屏蔽,是否直接投递,图标文字,是否置顶
全栈开发工程师,25-50K,3-5年,本科,杭州,3-5年|本科,全栈侧重后端,0,精准学,人工智能,100-499人,A轮,c50f513a4ba7a54c1HF93dm7EVc~,王先生,招聘HR,是,3,b7d010c718495bc80nJz09q6EFM~,1b53d6c3968f977003F62dW9FFJV,xQkwRpOvqwBWE-l1VRXGZwTx0pijbmN0gDgDq_xfm6FqkTe9dmzGxZdQRFPD_qAibhulg14Ar8CF5JsySBcb-27w7F7D9tCkVVNTLfIFHm8WcmcUFJjBle7dJybdDqmWdvu3eb5XgDxOk3GvYdJ6hBjwV1PssJO48njASFhX7CgDkG0-,615594290,1yECquUO94v.search.21,五险一金|团建聚餐|员工旅游|带薪年假|节日福利|股票期权|生日福利|绩效奖金|定期体检|年终奖,,,西湖区,西溪,120.074836,30.288697,否,否,否,否,否,否,,否
全栈开发工程师,40-70K·16薪,经验不限,本科,杭州,经验不限|本科,,0,某知名企业,互联网,1000-9999人,,,杨女士,猎头顾问,否,3,42ecdfd331369f451nV50tq4FFBU,821e3ee5a65391a003Fz39u_GVBS,4S1BZqv7jKFDW-E1EdL9BQzKCwe4oStOqpFlic2eb57c7rURhni7uLeRxIhrH041PVie7JS82xsLsrcbMjUt2EdCuJY_eN506KoDEpaZ8cjVa3MLvYC-_1xKXQjTmdvM08IR4DKRJhut,615594290,1yECquUO94v.search.22,,,,,,120.173231,30.27367,是,否,否,是,否,否,,否
全栈开发工程师,30-60K,经验不限,本科,杭州,经验不限|本科,全栈无侧重|计算机相关专业|全栈项目经验,0,幻方量化,互联网金融,100-499人,未融资,ffc4e8c3103e6c221n150t60,邵燚,招聘专家,否,3,e845ad65c3ba44c61nVz3926FVFX,6b8f7e07f22bcb6e1X1929i7FVtX,HqQ1QMx9gUNQW-i1c-dVWdErW9qE8HP4gBDO0HY7vktZGKy_yGjtf5Y-rstWF_mYU97ShkM3WgMA2--fJAtX-Xix3aqXc3bEvctD6t21dLtZtV-Viy-nulB2MA_fr0qO-umDXUvnj4I~,615594290,1yECquUO94v.search.23,定期体检|加班补助|带薪年假|五险一金|节日福利|餐补|零食下午茶|交通补助|包吃|生日福利|团建聚餐|住房补贴|年终奖,,,拱墅区,体育场路沿线,120.173231,30.27367,否,否,否,否,否,否,,否
全栈工程师（php+vue）（南京）,13-20K,3-5年,学历不限,杭州,3-5年|学历不限,PHP开发经验,0,南京寻优,计算机软件,20-99人,未融资,f1d9ba4d6a1a7a701XR_2Ni4GVs~,张女士,HR,否,3,c2166a4d180554250nd529W7ElNW,e4c1b90119b8f8bf03Fy29y9ElNR,N3yvswQZPNBAg-G1Eqp6wU69V1bcI2IbukXE1OPGBBLUe0Y_XhV2dhxrgs230XaCsJp7q3goOt5f_RdQvnU3XliNa-saMjopnzCOHTXK5Kze4d5YvKaKwzkoHLUivMcH0n-UXyLdfhto8w~~,615594290,1yECquUO94v.search.24,带薪年假|补充医疗保险|零食下午茶|定期体检|全勤奖|节日福利|员工旅游|加班补助,,,滨江区,长河,120.180195,30.189665,否,否,否,否,否,否,,否
全栈开发专家,9-11K·13薪,3-5年,学历不限,杭州,3-5年|学历不限,Java|CSS|Spring/Spring Boot|后端开发经验|全栈侧重后端|Vue|计算机相关专业|React|前端开发经验|全栈项目经验|TypeScript|JavaScript|MyBatis|MySQL/Redis/MongoDB,0,中僖控股集团,互联网,20-99人,不需要融资,6b3b3fa81e0fa4471Xd639W7GFE~,张璇璇,人力资源经理,否,3,5b0fd55323d472540Xd839W7F1VU,e439c24787b2c2941H172dm0GVBU,GFzuIUwo7PngI-A13grRP5_cdVLyj1nbopoFpng--pjKswXYpp1czatG18YCGCCnR_E8Ay6v21SLCVM6BeENHFRDLWhYca3EbGPqV4qW3Xo41N1W3uanXnMeCzfXLlTgFPUHMf1G7dafxA~~,615594290,1yECquUO94v.search.25,员工旅游|带薪年假|意外险|定期体检|节日福利|年终奖|生日福利|团建聚餐|五险一金,,,西湖区,西溪,120.075409,30.289696,否,否,否,否,否,否,,否
全栈开发工程师,10-15K,3-5年,本科,杭州,3-5年|本科,全栈侧重前端|React|CSS|TypeScript|计算机相关专业,0,智微信科,医疗健康,100-499人,B轮,6baa23bef1739dd903B70tu0,许女士,hr,否,3,e1a7ef0ab8362b620XRy3N-8GFdS,cfa1ff5d7669caaf03Z92d-9F1FX,MdG1HNPiusR2m-M15Uwo8Ybp4Tc-98Lkdqi5gHp1guCg2-OTiZybERX8JsSFJjGbtUfdfEspsQML0owN51rzokK0MpJHezZOEoeNlwTE1GaVdfTX14JE3UAPwnkkAwviV5lqSkBE0OM~,615594290,1yECquUO94v.search.26,带薪年假|零食下午茶|五险一金|股票期权|团建聚餐|年终奖|节日福利|生日福利|定期体检|员工旅游,,,,,120.238326,30.183438,否,否,否,否,否,否,,否
java全栈开发工程师,15-25K,3-5年,本科,杭州,3-5年|本科,Java|Tomcat|微服务经验|MySQL|Kafka|MyBatis|SQL Server|架构设计经验|Spring|Oracle,0,龙测,计算机软件,20-99人,A轮,6a52c5b5c73ba6a71HFy3dm-GQ~~,梁女士,GMA,否,3,1195da1df4cc94b83nZz3Nm4EFE~,0b645dad9767c56003R_2di7GFRQ,6b5tDrfK8pgof-u16Fz5fL6rXbeX5QDpHU2e6kHrTEVY3wOUOjkvT2JNxlSbq_vQPBgPDN-b3KQ7rjF9750_3WpdSDzfqHFcCz4JvVW6f5lSGoiGCCMmJr5-7IIHvHHMtPfqNul-KdE~,615594290,1yECquUO94v.search.27,五险一金|带薪年假|零食下午茶|年终奖|员工旅游|节日福利|加班补助|股票期权|定期体检|补充医疗保险,,,萧山区,钱江世纪城,120.239876,30.239141,否,否,否,否,否,否,,否
兼职全栈工程师,100-200元/时,3-5年,本科,杭州,3-5年|本科,Golang|Java|CSS|Spring/Spring Boot|后端开发经验|Vue|HTML|计算机相关专业|前端开发经验|全栈项目经验|每天不超过4小时|JavaScript|全栈无侧重|MySQL/Redis/MongoDB|Python,6,阿里巴巴集团,互联网,10000人以上,已上市,5d627415a46b4a750nJ9,董女士,招聘者,否,3,4ae068addaab1cf51Hx82t60GFo~,92e92d791493bc2703J_2t65ElZZ,RuCnmhcquPE2L-o1K41YTOMqxVXPsy5YvzUrMiK2WcDbHgZlzrbeP4Y-DwLjop2STdxzqBHT2j97WgjUQ5JJucQCdK7zQFFJTDSrqgGB3DVovZ_y_Z0Rh6e7cYuwyG-Gfl-MIw~~,615594290,1yECquUO94v.search.28,节日福利|餐补|年终奖|股票期权|零食下午茶|五险一金|补充医疗保险|交通补助|免费班车|员工旅游,,,余杭区,仓前,120.027276,30.275962,否,否,否,否,否,否,,否
前端全栈开发工程师,12-15K,3-5年,学历不限,杭州,3-5年|学历不限,前端开发经验|全栈项目经验,0,炬核智能,人工智能,0-20人,,5e38503ceb7b0ab61HJ90t6_FFE~,邢昊阳,制片人,否,3,4383bc4370717c900nN40t68FVBS,311939b7118b6b5303R50t-4FFBU,RrQVKHdKstDo9-51eXtk4S7j3cKMpVwWouMZJ2-08ntP6qjyFC-u64zwdr3Z3rlIcBjVNMv8MGt_mTxdSeE0KIH3uXJV3W5851iC7XwTEBih_e5meIcSLxP9LEuJIycjG2Dgrsmq12lX1Q~~,615594290,1yECquUO94v.search.29,,,,滨江区,长河,120.21109,30.21307,否,否,否,否,否,否,,否
全栈开发工程师,13-25K·13薪,3-5年,学历不限,杭州,3-5年|学历不限,HTML|CSS|数据结构|全栈开发|Spring,0,广雾科技,计算机软件,0-20人,,53ffc3325ac46eb91nVz3ti8FQ~~,吴洁,招聘者,否,3,a1b39d3b6db46df51HZ70tq4FVs~,878a4b4e92eba19e1XRz3du1FFpU,MKUhkuNTvI0pk-F1SUaO_Lb4sR65c5s31VqlbxhQrPi1ZL7FYVoRqd0d_oSUuRmQnAgXZM75wLFMe9YGmJYr5Cng0mOdjirYK8aE1RiWqlcDBVfR3wJ9XOZljEnBj5Kq_HN9pCnFljo~,615594290,1yECquUO94v.search.30,,,,萧山区,奥体中心,120.239876,30.239141,否,否,否,否,否,否,,否
