索引,类型,职位名称,公司名称,城市,薪资,工作经验,学历要求,URL
101,职位详情,高级全栈工程师,加砖信息,杭州,6-7K,1-3年,本科,https://www.zhipin.com/job_detail/39611cf2af362ec81HJ53N-_FFZV.html?securityId=1sxErjMqYRD6x-k1PTJHWksZtaGYz4vLnsIFYOAUplj2b2Gqj2CVhoHePR7IkLFh_0hgkPMBrIP2gWpJhNNnqTd8lGpE5WoNynIOcUyb301VKwFp8BB7DZslsqQpAGtsLab4bt7IrDI~&ka=search-list-1yGQl9q2wIO.search.102
102,职位详情,全栈开发工程师,上海达容创文化传播,杭州,25-40K,3-5年,学历不限,https://www.zhipin.com/job_detail/f2ba6026823fbf9703F_2d25ElFX.html?securityId=GqUmnA8GczXnG-F1lSNdgxdrggiH2Fa6L7BAv5asXWDVegJST2HuEGhKgbdDDN6vGWOJgQzWhsvlSpq_2WpZZNpzbiwJZ86WFgyOIMByOXQWugaiG9WJneiPAj9Ka4_FIENPAc-xx0Rg8A~~&ka=search-list-1yGQl9q2wIO.search.103
103,职位详情,ai全栈开发(跨境电商方向),零亿出海,杭州,12-24K,1-3年,本科,https://www.zhipin.com/job_detail/914fb47780c8335703J409y5FFRT.html?securityId=ZNOCuF9vYsv0k-S15U9f9hIpVM71W9yDcHOvE82GHEQkbdUQJQR4NG9dgIU8CqvTURUii3kPuZhSce7eBLgB1WP4gfrSxFLBhl71BqcL-K6wC-V2_CL-CJNh7LDDti_troWRJtR6CPWzjw~~&ka=search-list-1yGQl9q2wIO.search.104
104,职位详情,全栈工程师（偏后端）,凯瑞博,杭州,12-18K,3-5年,本科,https://www.zhipin.com/job_detail/748e627bf1d76bdb03J60t67GVtR.html?securityId=-yow9chCIK-x_-k1qDC24dIiDuP96pJ7xQc0tj6W3eA5XYT4ws4HBBvreC2hdLrFpCctQtmpBnn-FGI1E5Jhj1WyZJdtW7SD27QWQsrsn5NnQPrBwo1i5sL9jKNXjbuVLsCXiDIZ_ko~&ka=search-list-1yGQl9q2wIO.search.105
105,职位详情,高级全栈工程师,东山软件,杭州,8-13K,1-3年,大专,https://www.zhipin.com/job_detail/d258a45b759f13df1XB93Nq6EFRW.html?securityId=P8ayRD8r1yjox-K10RpI6BV_TwV8K40jk396HgcHaqe0Ek8Uhp1C9p6k2VphZQLel0f1_PLoE0VdHDGWSHuuUqw_JZdMCbTqhnqbA1WYGagJcvI5QdqOgL6qEbQ3BpSSm_FdhndvaJQ7&ka=search-list-1yGQl9q2wIO.search.106
106,职位详情,全栈工程师,画梦网络,杭州,10-15K·14薪,1-3年,大专,https://www.zhipin.com/job_detail/d7b166f75f39c2751nF709y9EVdV.html?securityId=8ExfR59MDul6q-x1Zc53O-1vzkcfSr1zVjzVh49ZlPO_yH7vxkYSgg6SAXN50JJmqH8mXRXayoqLOUYQnHCQojhkPhdsgMhRdtfof2hKldqFSLdU0yf692HoCuaM72y4ll--aORkqr4E&ka=search-list-1yGQl9q2wIO.search.107
107,职位详情,智能体全栈工程师,钉学科技有限公司,杭州,10-15K,1-3年,本科,https://www.zhipin.com/job_detail/6c584343363a0c3d03F939i5EVBZ.html?securityId=TYnyhljMta7Oc-c18whCoDqzBK7aogsXGTkS4hYgYDywgXmFAYMmlm2qZsw51A_yhL8cQgFAA9h-WpVWsxRxmromaEbHwN4iMSlUbQZ-6MG_pO8Yri9LqDnUzfUrCWlqOX1QOSztmjcP&ka=search-list-1yGQl9q2wIO.search.108
108,职位详情,杭州全栈,某大型金融科技上市公司,杭州,15-25K,5-10年,本科,https://www.zhipin.com/job_detail/10c56dcc73bd5c0b03J_2t-9FFdX.html?securityId=QQmUZc7xxt7Y4-y1rJTUAPny_H_2Hm_YpvSy1k5_ldbONWAcs2rGUV5L16u_Th93igkSfXkoZ_J6zHf3oMBaHUyVVJSAePMzpiz2tI6XHdmRJC7Skj7y41EH-Y0RuZFd3dtxf6QtpmI~&ka=search-list-1yGQl9q2wIO.search.109
109,职位详情,全栈工程师,铁公宝,杭州,1-2K,经验不限,学历不限,https://www.zhipin.com/job_detail/83090f49de07a7f91nZ429W7EFFU.html?securityId=95fBiOiqYhi0G-u18czErCVGo6kKNvV_sq7-gonVmaNo38Lanwuxg6SsnZkh0YjU3x9boh1HXvpf47-qiblBozplUThaCVyDoK-P-KbtUoqUKS_n0Ryje0BGkqBGzOA2gZUG42dOurM~&ka=search-list-1yGQl9q2wIO.search.110
110,职位详情,全栈工程师（游戏开发技术中台）,略微出手,杭州,12-13K·13薪,经验不限,本科,https://www.zhipin.com/job_detail/19a931a8a1fc178a03dy2Ny1GFtQ.html?securityId=LSCbfrtSB79Y_-o1xVHOB1Czdm1LJiedIYH_TX_d8qDggMGlL5za_-hdqCayghVM8l90ETvB_02T6cRhQyalt_y7hFJDlyl6cOTQRnKhkZxgLSdwkMoefs3z7je3Oz2awWKNlx2xVm7OwA~~&ka=search-list-1yGQl9q2wIO.search.111
111,职位详情,typescript全栈开发工程师,数环科技,杭州,12-20K,3-5年,本科,https://www.zhipin.com/job_detail/f7fd2f7c736e71d103F809u6EFNX.html?securityId=uD1oER-5mXy1c-a1sXOlaIM7-azRbdbV_iXamq8eCVZvZmHloJIP3Sr3q3eVlDgyxkeGlW8eofsVpCsE7Ka1cvbyUlPKuYApZXSOfyNlQv0dALxe0CUUfeLeyYqBh6ONjAytx2RUj5KgqQ~~&ka=search-list-1yGQl9q2wIO.search.112
112,职位详情,全栈开发工程师,绿城产服,杭州,15-20K·13薪,3-5年,本科,https://www.zhipin.com/job_detail/74e2521f1c239d001HN409-4FVVY.html?securityId=qCcMTApOjWtsr-z1UYSyiH9uAH8Hbg_U7djWXoybALAP_aUhh03ryqItquK2WiMa4GKLyLPjkenV5bBfyX03YVGK8yko2WQsv5UPeM253x0SIdE_UDxjwK9d9YkoLKF3T-htFKq8yDCU3A~~&ka=search-list-1yGQl9q2wIO.search.113
113,职位详情,全栈开发经理,盛康网络,杭州,35-45K,5-10年,本科,https://www.zhipin.com/job_detail/50d9d6083e924f821nN739y9GVVT.html?securityId=gcRTHIH1MzcRv-C1qwvrc_DCIfh5S_lc-lmK5mg9PRik9zpkhwjsyoYofLzUz2NGf3LOagoWf2LiMjG6HTE5wvBiPa-xf7MnJquDfwdVviZCaUDWRHJlLCi0SSFoVvU2aB6mOWYWL5dh&ka=search-list-1yGQl9q2wIO.search.114
114,职位详情,游戏web全栈开发,成都电果创游科技,杭州,14-22K,经验不限,学历不限,https://www.zhipin.com/job_detail/edec20b7ad9db59103J63929FFRT.html?securityId=fb2LiMWb2oVrJ-y1w26SFIHCv5mmCiLjr4wu6BRlURmMTZKctInJe0U9Q7juD2CoUF0XBLQl5mPnnIukuOy4GnWTNLe6KWWnz8wOOlFR82pUUO4lYyuPC21oySzVO5KEjIRlegYCYeYF&ka=search-list-1yGQl9q2wIO.search.115
115,职位详情,前后端全栈开发工程师,瑞邦科特,杭州,11000-13000元/月,3-5年,大专,https://www.zhipin.com/job_detail/3bf546894c6059a703B90t25GVpY.html?securityId=nwI1kYLNnVP5l-K18Im64mKGBo4VMRQBK3vi7q7cQ1zY73tQw-GraFHrUB9dOHalmo-swWx8N20uNACwdU845bCZtx7hGKmJ9AIBwnv1-5jUB7nJTnX-rHpObwgNbn15A3Gz5y6VnHhZBg~~&ka=search-list-1yGQl9q2wIO.search.116
116,职位详情,java全栈开发工程师,质心物联,杭州,14-28K,3-5年,大专,https://www.zhipin.com/job_detail/8899eeef473061c11HF80t67ElVQ.html?securityId=i4pWCcy9Zuy6t-B1EMeCIa8Wy-DChv6m-yLzT2PT8dEsyKhdvVEXNWA2IOSJestHOYfoMWbp5OBHBuMHF4-1nPwrPpW7EaBGi7PvJhHR_cAd2B7j1lSF2C4WiFbxY0XLYthuVb2LTq5yaw~~&ka=search-list-1yGQl9q2wIO.search.117
117,职位详情,全栈工程师,泰隆商业银行,杭州,20-40K,5-10年,本科,https://www.zhipin.com/job_detail/876097e0261459911XZ80tW6EVtZ.html?securityId=tT7sdnsGB6Kjj-r1KkU125BMvzds4V9EuyDVpixoAToZsiaDxKGoM0NxJGm8aL--qBAeHnJPJiK_uQUedhM85wa-uljkxbU038QWFadl62D9Pj3Cvv7wKjaDkYj4uWk-CnK_C64A&ka=search-list-1yGQl9q2wIO.search.118
118,职位详情,全栈开发工程师（侧重前端）,宇斯人工智能,杭州,12-20K,1-3年,本科,https://www.zhipin.com/job_detail/c872ade69d8ddc9d03dy2Ny1EVZU.html?securityId=MSdOiOCpTXA0u-p120yXdAVSv65xW0lJDqwtLDE-pI6CrfW15225QFnfxOTPfIiOTIiToXuY4xzoHAcBUYbTlN-6gaLcnAAmXLD5d7dJbya_joPbgxZWQ6uQ1raYnyqjvHwbDdFtj3E-VKt-aeJiXf38Hop5K5qS7VYA1gvoUK97L4YHdA~~&ka=search-list-1yGQl9q2wIO.search.119
119,职位详情,全栈开发实习生,晨风清兴科技有限公司,杭州,150-300元/天,nan,本科,https://www.zhipin.com/job_detail/c04afa5887b6cad01XNy29m7FFpT.html?securityId=G2_mhTYQZDKAF-U1LaE5jknF-gBEMYACqk99cQfXr25-0ADHt_POEQ8HnlI9-r7Y8KBlNEvzXLZegodTcSC5KKzsGmcXTI9Hpzex-Ob3Y_33LkMWmKN_glQdJwTw6hFs4nJLjaccI0sR&ka=search-list-1yGQl9q2wIO.search.120
120,职位详情,全栈开发工程师,杭州小黑力科技,杭州,16-26K,3-5年,本科,https://www.zhipin.com/job_detail/6f27602148027e6b03B52Nu0GFBQ.html?securityId=YwrnCAKyBRLVi-M1XveZExm9DRlxvRhOupWzIbkR6CrKt-ascOjZbUWqmXfw5mn52h2ySogckdqPzwBvNqPBkitUC8ZakZHEXFqw5JZVK4A-Pnk8Gi2PgFz2hW21m_z_R5lmU46Kb7ihWw~~&ka=search-list-1yGQl9q2wIO.search.121
121,职位详情,java全栈开发工程师,松格科技,杭州,7-12K,1-3年,本科,https://www.zhipin.com/job_detail/36bb6720072f08a503d929W6EltX.html?securityId=Bop4v18cSi_DT-t1Hg1U0bqWTmrpQ6iI9HyIWM964XIt9vjcK40NPwCo46VYSRVCR65dixYPtG_aoMs3righYTDrAuNCdxq2Ob9-Kib618IOsoIwjBv88diCyuMBW1hRGcNRVh_jpHLDnw~~&ka=search-list-1yGQl9q2wIO.search.122
122,职位详情,全栈工程师,鲷鱼科技,杭州,10000-20000元/月,3-5年,本科,https://www.zhipin.com/job_detail/4cc48f6db52a731a03J639y7GVNX.html?securityId=eY9nNPXg5xdSM-51-5sl7ChFUxMerKxk9EEv13Dodo45yrw1kX1J1Y2vqebTzk11MwcPuPLzn-TeHYGgNN9FcnjLoKODS2pQ0kqACL_PsXdv6e47EGY4RxOX42xOBvlbty1u5MbJXLiX&ka=search-list-1yGQl9q2wIO.search.123
123,职位详情,全栈开发工程师,杭州龙特星辰科技,杭州,8-13K,3-5年,本科,https://www.zhipin.com/job_detail/9da383bf90f2390503d83t25EFdU.html?securityId=DbmUwkWkl2FMX-Z1BI0Hj0EC0vIi4Qs8tB-cXlkjOUb6bjh5HZsAiVqP6w5gijSmg6O65UBcn_zBgzN0aXzMIJ6AGDrID126AUkQBQWFjjY68NsVD8G2vQ5NeEzeSS5rRy9qyvC9otCL&ka=search-list-1yGQl9q2wIO.search.124
124,职位详情,全栈程序员,杭州暴燃熊商贸,杭州,10-15K,经验不限,大专,https://www.zhipin.com/job_detail/cd774c9152c379111H143NS1E1ZT.html?securityId=JHJMXExP8Vytv-41a5JXAPGKNq4IupkK6HaaRgSnz_liZtMMBOmcAkeUIqgxXEPNw8fygddmPEqvmgZkxZywFbnup22G8dHySMVPtMuRAT6nhsRNvKA-kq2w7HdOsGK9irhsTFT93nzt3A~~&ka=search-list-1yGQl9q2wIO.search.125
125,职位详情,php全栈开发工程师,亿家千城,杭州,15-20K,1-3年,本科,https://www.zhipin.com/job_detail/d900486ab765b1b81HJ42dm4FlZQ.html?securityId=d7oA18kOWYdL3-21y42Aowb0Al99CJRwMWjLJbWsB-qHg31dHNr3en27ZZ2LKM8KUVs0-TchetxYyW1XSiofpOA_Q1XxX6dAbnYWuWqBFki74CjTp5n8TLnAgCyRuGrqTRZZe9zIUnQlCA~~&ka=search-list-1yGQl9q2wIO.search.126
126,职位详情,PHP&uniapp全栈开发工程师,小鑫科技,杭州,12-20K·13薪,3-5年,学历不限,https://www.zhipin.com/job_detail/abb3a2daab1c28231Xd909S0FVBT.html?securityId=CuxqQoUKk2djf-s1KV-DSB3xh1C910QSNlIUTd5ijYi1yq2FoM_AO6tjdNh53GmiFEfxXyPqVltSIer9RoXJm0PfSrEDfcbSqdZjm7f9tRad1tX1XHF-5IHDecaNlYnilaeXj6Fe5MJw&ka=search-list-1yGQl9q2wIO.search.127
127,职位详情,全栈开发工程师,沃瑞电力,杭州,7-10K·14薪,1-3年,本科,https://www.zhipin.com/job_detail/995b30ecd443e57a03By39-7EFJT.html?securityId=DMIMtq4CQws4P-t1j4fjQ8qOYuwvC4Dg6ElhNZEigqtfoXfi7pCCrYWXWQoF6nexhn5X_oe42MelFifEyqIJsrAEn1WFs4bpuTvWgl_mQT5a8o6bdApNmUfwSkWqZrR6CFwIFiOeug~~&ka=search-list-1yGQl9q2wIO.search.128
128,职位详情,资深全栈开发工程师,杭州事不怡驰信息科技,杭州,150-200元/天,3-5年,大专,https://www.zhipin.com/job_detail/6eae5be5fe42fe7003By3Nm_ElJX.html?securityId=A1HDtpir9w6JL-v1OacoJvOwN66e8MuUKDJ3IdVDNv9pASvDA6mpFhOf-SXkJKFfrIoiqS40kvuHU8y92IApcFN03A3mED7GHLm1kAFipmJOk7EtWVgF924bDlY65D7Zq1ZY6mRvBO9bsw~~&ka=search-list-1yGQl9q2wIO.search.129
129,职位详情,全栈开发工程师,中智达,杭州,11-20K·14薪,1-3年,本科,https://www.zhipin.com/job_detail/be2b79cf2a701e0903J43tu7GFNW.html?securityId=mQ0pim_qcXIy2-Y1XU8ZoSpKrVjbAGFx0DN0D2QZW8GSjT_yJ2jiJkp-5dmS_od17Y05JqVl6E9UvqTjUMsCblIxvb0_9N-K3jgfFce2cvPg9mn92jtbIasXQBDDLS-QF_3ZcRezSa0~&ka=search-list-1yGQl9q2wIO.search.130
130,职位详情,全栈开发实习生,杭州多米拉法人工...,杭州,150-200元/天,nan,本科,https://www.zhipin.com/job_detail/37ce147c12bb4eb403F-09W0FVpT.html?securityId=M58flUyhCBOl1-e1wOObe-_kQUIys3EsJ32TkBDc1cgIiH6RgF8wxN_PUwJ2Kqd-Da8o2qwoxJXRVjS2ISn2eYJxZQE6r3Oyh7x07uEiz_8JPglisk3MwRPGcYazAjrXcLtDCsJZgmrI&ka=search-list-1yGQl9q2wIO.search.131
131,职位详情,全栈工程师—杭州初创团队agent方向,某人工智能公司,杭州,40-70K,经验不限,硕士,https://www.zhipin.com/job_detail/88aab01d7bf9cf2903d-3Nq9GVVR.html?securityId=FCND2pfOiYt2N-m1lCGR6TZNCI-CCBtg8Ep0NVX-LLMD9YUGPwfvdA-EO6Ud89Aw_mL6pA0vS8f6MGnl6PKOHAiisiFEJzup08L_pl6eOwD0Rio6rWz1JHXynmQIbzH8LB5Oy8o4F2tJAg~~&ka=search-list-1yGQl9q2wIO.search.132
132,职位详情,高级全栈开发工程师,千烈科技,杭州,8-11K·13薪,3-5年,本科,https://www.zhipin.com/job_detail/5f6db25663215f871H1y0tS9ElJY.html?securityId=niXmcNY22TJ35-G11OBF7gr4BK2GGmil2X9-Eeb1DwRe9XPUru7l-r6lhnI75PfCMe9zCtg6GzIsm4L1R3PLdQolVjaHlWG7MU-CYymBVA9jC3F-NgLCWn-QqC5nMYtz-wyCcQtlwVO0&ka=search-list-1yGQl9q2wIO.search.133
133,职位详情,全栈开发工程师,信及达国际,杭州,15-30K,3-5年,本科,https://www.zhipin.com/job_detail/b9653d3c84c0bad703F9096_E1FQ.html?securityId=y3sof0cFO6OBm-A1EjgTs8-xawbemCapTOOdorOClZoFvAA-paA8T-IEC0y8edwGrRJ8YzMIzQ6TI5Bri3LoKh88t92TNpEyklTmz15TAKRjvAvS2NJPF5MQjzUQYrxc9jpth231YmJ8&ka=search-list-1yGQl9q2wIO.search.134
134,职位详情,全栈前端开发工程师,杭州盗火者光电,杭州,19-27K·14薪,经验不限,本科,https://www.zhipin.com/job_detail/b2b09660ea75266303dz29m5EFRV.html?securityId=mRmLvrDXVNx2b--1PIC8SWytXIHEqtOcizmJDfoNJtRUT0tbMLC2SO3mzz8DQ90c0417bxglV7xQACkA-_JUu2QuslR9nLx5lIZvCMNhTN18HtIP4B4vRDwhtwP1LA7PuR_zbhVKDaHE-Q~~&ka=search-list-1yGQl9q2wIO.search.135
135,职位详情,java全栈工程师,杭州保芃达科技,杭州,10-15K,1-3年,大专,https://www.zhipin.com/job_detail/785539de367c262603J62966FFNT.html?securityId=YaRSdgsTrWPi_-Z1aqxDA4vTcXEgN-SRFlayHzqq2dv80CYwIP3r4s-cQuIYh_hZFMQrDlSO50PgjvZB_WD8Eg01JQFMRcia8i0g22Ccpw6-c-JFnhAh2dEEqtU1OTNwJOPn7lhW5Mg~&ka=search-list-1yGQl9q2wIO.search.136
136,职位详情,资深全栈开发工程师（AI工具高效开发方向）,华信设计,杭州,20-35K·13薪,3-5年,本科,https://www.zhipin.com/job_detail/f41c31219618292603Zy2tq8GFdS.html?securityId=K4Qo0dhCPJ2ei-01YHJHWp7tLQYuP4ua63ecD6gYx7RXcvVVJZxqg7D19D1UPnuTcJ9msECZd1V6nt_0yaUryV8sn8JTiYomXnKadBfIs8UJs75Bu5MwtwgHypxdE9Ju-OKNdGkMmsU~&ka=search-list-1yGQl9q2wIO.search.137
137,职位详情,nodejs全栈开发,浙江星狮达科技有...,杭州,10-15K,1-3年,大专,https://www.zhipin.com/job_detail/254e62240360b0e01nBy29W7FldY.html?securityId=ftOyLwGUO7DTp-L154qy6N61V0U0xsLSeyZVJloS-sxu1Gl1Hc8GTM7rfvB1cQ_6TpzwZQJ6US2ba5uyk3Lq3U5UamFvA1NL8HftMheSBgioNe_rgETNwiXJ7EhXymKXHLU6VFMDvdrqhA~~&ka=search-list-1yGQl9q2wIO.search.138
138,职位详情,全栈开发工程师,天眼智联,杭州,15-20K,经验不限,本科,https://www.zhipin.com/job_detail/4130feda06e48dd303J52tu6FFZQ.html?securityId=_OFrXi1meRjtA-716lrh5Ha4WoZynbgOByainYe1-wJJ87cnE0i9mTRksPUNov47xd9rwG9z7zcFCpIbMy_QLDq8u_tH2a_Ywg1EvEt8u_vDCLS8nw3Q6Ik2nVZei-MIW09_VQ06GK82HA~~&ka=search-list-1yGQl9q2wIO.search.139
139,职位详情,全栈开发工程师,上海聚益文化传媒,杭州,15-25K·13薪,1-3年,本科,https://www.zhipin.com/job_detail/220ed4871365724a03d40ti0F1BT.html?securityId=g5m48b-8Ru-gp-21oXpTJha-kSpIZRg8fwdG4GF8HsUKvVH01OfUQl6_5aPI_qntvdmXcYgJPtn50QxV-NrMeL3ALFFN5AmVUirLNXBbWJrO9XCsuwDTOmIf-um_VoWRnNOEBJ9e&ka=search-list-1yGQl9q2wIO.search.140
140,职位详情,全栈开发工程师(偏后端),零跑科技,杭州,17-22K·14薪,在校/应届,硕士,https://www.zhipin.com/job_detail/d6911ba58a74373303Z-2dq8FVZZ.html?securityId=3A6NQzsDV6QTn-11DQjpFBDVavkyoAelo9gT7_vbvPDsFAJSebbiK_UJfDSATaySdpX6rAWbEHtWlerV0GZTFddePqjzPXZ-voTCcXa2qHLm63c2epe7FAGmLRyy8ypJPrQ06vmEfIA4Yg~~&ka=search-list-1yGQl9q2wIO.search.141
141,职位详情,全栈开发工程师,中科润禾,杭州,18-28K,5-10年,本科,https://www.zhipin.com/job_detail/c9d6fdfabc3b88e003F72dy7ElFR.html?securityId=Iv0t-Eo0Np6Ya-E1LKjEpJEqJ6Z1nG8dWjBJgMuMJKwN2RgIIsnxcgyKA2UBibUrGJkFNWPJcYjkqlZ9JDyNO2LFHgRFrkqdZ5Ag8NJ4fT9bkMmPMCnbCcUgOst_AjzBsc67mz76CXE~&ka=search-list-1yGQl9q2wIO.search.142
142,职位详情,加拿大全栈软件开发node.js,杭州毅尔易体育文...,杭州,18-35K,3-5年,本科,https://www.zhipin.com/job_detail/76cd062946e9d3fd1HF90t--GVNU.html?securityId=ghrX5bwVPBOuR-s10FeLiWJ4GD6qzxvHdMluyNrkj7jrC3XOk3XPL6FFCfIoGNYFEACuX3PW1jElY5WSt_u2zo7_PmnL_CXMauiM1IJSZz9KQcczCJXjTdJeTGJx_KAbsbjkODjswLiH2Q~~&ka=search-list-1yGQl9q2wIO.search.143
143,职位详情,全栈开发工程师,公共安全技术研究院,杭州,15-20K,3-5年,本科,https://www.zhipin.com/job_detail/61f607ee9e1f0e5a03J70t69E1tY.html?securityId=slAZJJzuAZ_4S-V1AAV5pFIKWCqM92Ly-ezoViwY5SvEiViJ_5Rd6fq8rMQb-hEnrfq_tfZlsnXme8Ym_au-QvgOvmL7Z2mw8cjrF4pT0gESFYQ4L-YFY7BTU728cduxKzoqBBSJsg~~&ka=search-list-1yGQl9q2wIO.search.144
144,职位详情,全栈工程师（余杭区良渚）,新翔科技,杭州,11-16K,1-3年,大专,https://www.zhipin.com/job_detail/e6f17378700b463a03J53Ni6FVJR.html?securityId=FVa7sfIE1ywP5-L1b9QM_jqgWOiMu4fBOEJEpwn7t5YFnLgwHq_uifEdHUiGU9FpbSxiQq3HRMnlcbUMzBnAkx7Rx0LiTmv2PHdnqXlZLxuh7ZwBmrSBYrGOSJ8lvzNCRyvXmXgbWQ~~&ka=search-list-1yGQl9q2wIO.search.145
145,职位详情,全栈开发工程师,某大型人工智能公司,杭州,60-90K·16薪,经验不限,硕士,https://www.zhipin.com/job_detail/d43604aca737cfa103d50tS6EldV.html?securityId=uF9jmu0B9maws-61LoVmWDLy1MnWJSAcQc26yR1vhvld3i8iOW6eWJ6-TZMkpfev0Aqc4uBz8qxRHLlQMsG7oD37gCamWNsKADeIy5NYzL8zAIcpFX4DPHc7LdJgHvAuGxKeoM79jAZj&ka=search-list-1yGQl9q2wIO.search.146
146,职位详情,高级java全栈工程师,享视界科技,杭州,200-300元/天,5-10年,本科,https://www.zhipin.com/job_detail/163e541c5c838c6803R40tS7FFJW.html?securityId=UM2FAhwfDWrro-u1hpBCCTEl3HzgMjIxNA0jFXuYcYf-zs6yeFZZdIGTFRvgnYSQzajtaVRg1RfPG4BF0zANLAQOzsZ48OANHofGwg-eKtrH1wBXL0gufLsI7I76fyoasq1y62MkTHo7&ka=search-list-1yGQl9q2wIO.search.147
147,职位详情,全栈工程师,鉴流工坊科技有限公司,杭州,13-17K,3-5年,本科,https://www.zhipin.com/job_detail/d02d73c98275247f03Fy0t60GFBR.html?securityId=aEPvn2wySAdMr-G1Ns-Up3AbZpyfO9ef9cqDcaNF1Cz0aJfcKKlMgZP3sxzvoPGbBdlgmy5LYFwZYpSIpPiZk5CG68rerD9WUqLs_Hsk0HaOI8AAxn9Mg8g4EmGm_3wKKtYgM1SWDGfFpmNDzaAveqV5uN8raX55MU8RTCO6ZKhVUYt2&ka=search-list-1yGQl9q2wIO.search.148
148,职位详情,全栈开发工程师（实习生）,宏恩网络,杭州,100-200元/天,nan,本科,https://www.zhipin.com/job_detail/d6beedbf7234c63e03d609u1GFpZ.html?securityId=fOJD6dGKPZS8d-R1xBMk0e64WleUT8VDqZI862kLSGy2OCTHZdk0sr9Tcq0dCM8uopkV20uvcyNyjEDu2fQp8uUAX76xXI3McU0F1mI5yR-NRcvyOww9qVcnRAKgodBF1aeanU84eUM~&ka=search-list-1yGQl9q2wIO.search.149
149,职位详情,全栈工程师,昆腾碧特,杭州,11-18K,经验不限,学历不限,https://www.zhipin.com/job_detail/578a05a2c8c719411nZy2Nu-GFVZ.html?securityId=_67Folvr3UmHT-81hjLwWS4VX5kBWTfyTNoyt5RnFKKGB-ZJh1rlNNjHLCd_KyMkoodPqqGYGuw6Aqhwpgy7SveQdO7Y-3Ht5yB2eQ_NPNjQG04RjjDaf_XsVt8DmAuqigw4_DtsFbY~&ka=search-list-1yGQl9q2wIO.search.150
150,职位详情,全栈工程师,树千回,杭州,16-30K,3-5年,本科,https://www.zhipin.com/job_detail/baf7c98431d7e9c103d939m5F1ZV.html?securityId=V2uKGaDYOx_pc-l1ENAOBpDniN51ffLdS2FHrz0J_4eApr0QFj7rNI0T_9mE9ornA2aTj7v7S-O9dXOjQI1Q8m2F3oJ7RDbFJo1yEgpXp8641dhMSy38u64nAG1mW1jOB1PwX8tUViyw5w4z5_zaSJrbRN2mJra-98xj1068lkb-7KzxbQ~~&ka=search-list-1yGQl9q2wIO.search.151
151,职位详情,全栈工程师,浙江楚晟酒店管理,杭州,11-15K,1-3年,本科,https://www.zhipin.com/job_detail/82c8457f4e79c13603J_2tS1FVpT.html?securityId=irVdlaaSJWLjH-615zWxudDTTj1kJxd__rumGV2aAYyiMJmY4T-cB9SczKE_2yqk_SwGVP34jB7EUi6I-RO1V4erKWtlGEKSjcBj0S3Nfz9Rjv_v-sKA0d9OfEDtgDMwB-iPkcZZUAhuYQ~~&ka=search-list-1yGQl9q2wIO.search.152
152,职位详情,全栈工程师,炽途,杭州,18-30K,5-10年,学历不限,https://www.zhipin.com/job_detail/a04865e0143edb5d1H1539u5ElZU.html?securityId=f5RVP932lUY5o-g1NxV_Mk0OIXUGhlx0WCdH8tOJYjsH_NV2vdCNZmilulaxxg7wZ5YeoFkPoz89besWXpDzTxeXyO9CO45PbIhLTrkIDki-06KNkxVSWL_Asmxq_vJk1k2FoG14LgTa&ka=search-list-1yGQl9q2wIO.search.153
153,职位详情,全栈开发工程师,浙江微养,杭州,12-15K,3-5年,本科,https://www.zhipin.com/job_detail/a873de6ddb14512403F_3ti4EFNY.html?securityId=SMBeyshwm7Ink-S1wpBu0NC2LJdBWDjCwqBCJuqi6HFoJoyUp7eU7vJnjBsi17an1MEoIaHtc_Di6WODtkKeksYqEC8AMfKBVjjK9uZHWT3crasZJZZaI1dJh6qRj0l14OQiKX10Z5xU-g~~&ka=search-list-1yGQl9q2wIO.search.154
154,职位详情,高级全栈工程师,享享科技,杭州,20-25元/时,3-5年,本科,https://www.zhipin.com/job_detail/ba768ecfcc0accb003J-3NS-FVdX.html?securityId=AvNhOpkug2pix-J178bKTwzHwyEjuTqrgdAaZKd8g_NX1bXQqIm9Bke80EgUgphBx9NwxB1Nfka4rYPtiEz6iR1NTw_c8PtU0vkvVxwIXQUsLb_Jjxk7lDBOlI6QDDAmJn_8Cxp-gly7SQ~~&ka=search-list-1yGQl9q2wIO.search.155
155,职位详情,python全栈开发工程师,杭州桥度科技,杭州,9-14K,5-10年,大专,https://www.zhipin.com/job_detail/38cbcdc6e856545103F72d68ElVQ.html?securityId=kHFaFxMtao4y1-G10gxUktTAKeJ4zprq4OmM1ZpLCAmf2HQOT5X1F2aSuNmEJ59jrkX1ZDghRkYmdBjokO30r6jEgNQjQVdpXyy1IKr4fsDBxlw79XKo-DBo7vfXnNt7BWFJ9c9aEQ~~&ka=search-list-1yGQl9q2wIO.search.156
156,职位详情,全栈软件工程师,无垠科技,杭州,13-20K·13薪,1-3年,本科,https://www.zhipin.com/job_detail/5de9f732df5f686403J43969GFRV.html?securityId=DuTMONmQPSMjt-U1nZ3tMwilwHhOjEbYYkCSie0xIK5Hw9F-Biwd1E5bXkQW9aEEL8SvEfsXNpJko--niTipZjujyIMdToChNdbJPA1r8PmcRCaVGUnW5G-1TCDwkSp9o6treblIgds~&ka=search-list-1yGQl9q2wIO.search.157
