索引,类型,职位名称,公司名称,城市,薪资,工作经验,学历要求,URL
22,职位详情,java全栈开发工程师,龙测,杭州,15-25K,3-5年,本科,https://www.zhipin.com/job_detail/0b645dad9767c56003R_2di7GFRQ.html?securityId=g0yerMY4-1XtA-41vQQBmj-6ODKmM1XvN26WLusrbSR6M39iD9CRYbXrtOg7zwuN6YaarPRF8msz3ssCyReW0A88XZwGGobje28FxZ3XPZCgde6tp5CvgOcGboapEYlwe-zyd4aYc-A~&ka=search-list-1yGQl9q2wIO.search.23
23,职位详情,全栈开发工程师,暖阳阳,杭州,15-30K,3-5年,学历不限,https://www.zhipin.com/job_detail/eba8d7e77c9fa16603R809m1EVJR.html?securityId=-VZHvXa8Mi3k8-219V99KN2YLrDbxMcxWDCvJTVeXshAda2F-UbrVxnEb9Csciutt4QYzCg3d2SAf-p8a0mD6AnKZ-fzCa0bfZI1Oda-MctxytUHR3pexAtnLg5aVGp6Xm2pyCsnKO1nPFRqCBf78VCynLCBbujhPg0gNhJk5FnCNSI~&ka=search-list-1yGQl9q2wIO.search.24
24,职位详情,全栈开发工程师,广雾科技,杭州,13-25K·13薪,3-5年,学历不限,https://www.zhipin.com/job_detail/878a4b4e92eba19e1XRz3du1FFpU.html?securityId=17n0Mob3heFm--71Uzfo5gVWTKvhxqC204Ds8znGDx-r6-SuQMSX1d6_6W8fuQiJFlJDgubTv_BqrY9X9hVtIiflizgNVHbBGVJK-5Y0EuyBDf_kNrqz27Hg9mdViUePu0vZtFX-55c~&ka=search-list-1yGQl9q2wIO.search.25
25,职位详情,前端全栈开发工程师,炬核智能,杭州,12-15K,3-5年,学历不限,https://www.zhipin.com/job_detail/311939b7118b6b5303R50t-4FFBU.html?securityId=dUBHwrFBhq4hW-p16Q_ocLF5ttGHn9bLF_IwRSn2HHsdq5Y2x-7jy5GbEe686pnuuGpoH41DIclrybNafAqlZv2oR0o5yUa8JBJy7dKotAP-YhqNk6tu8K7644R4AsKr2FfU_bBi0V5mcA~~&ka=search-list-1yGQl9q2wIO.search.26
26,职位详情,前后端全栈开发,头大侠头皮养护,杭州,150-200元/天,5-10年,学历不限,https://www.zhipin.com/job_detail/8f9ccf877029133e03J43di_FVRQ.html?securityId=QP_TXHJK0dKcd-51o_nGpouUnXvtVtusaDKJi2viCA_N4dGq1-pC-gh8U4Mmwsi54fkZa8_MfvBN27SeWZOgvpqhGvJjQbgFx3opWYLH6A7raM27Nq70U1KyuF57nyQ09_iLH2cdgXbe3Q~~&ka=search-list-1yGQl9q2wIO.search.27
27,职位详情,全栈开发工程师,精准学,杭州,20-40K,3-5年,本科,https://www.zhipin.com/job_detail/a7f021b5b2399bad03J_2dy_GVRR.html?securityId=i4FMh8Dz5frWU-o10lDlIFw_zxUXCzhI6zBhPgUy5MSrmoQtyyxyPQTbYt3UkzaX2QfToLPT-X84EYjMnqbQqmqNutNOuOfOvRYMWe1yHty9P5cijyPcntwlbursacf718YJv7PP4G1m1g~~&ka=search-list-1yGQl9q2wIO.search.28
28,职位详情,app开发 主程，全栈,杭州凌凌七科技,杭州,8-13K,1-3年,学历不限,https://www.zhipin.com/job_detail/4d0dc0f3ca181dc103Z53NW_ElBX.html?securityId=6cEOVlErs3mex-G1BekGO-Z8wuFPXpMZq1hJzxq9godNFDmychdDfDvDoslfF1rQ81BMk7d-xngM6O60lE9GtpPWhJQPgAbNG8TtXfORCI2VyX-8lwSB3qHkrjcmqM0bN_zHu6AYkAAqQQ~~&ka=search-list-1yGQl9q2wIO.search.29
29,职位详情,全栈开发实习生,视言,杭州,150-220元/天,nan,本科,https://www.zhipin.com/job_detail/75541d5e597f3f6103Z62dW6FVRR.html?securityId=OGKt4VJt5c4tE-N1JJI_4Vyf8savDOZVSJL5Tlkqvl280BVYhv01IpBrPXERMQeEVhtB_a5slqtFbJRqM_-VxqkW6fsV4WPZVchUDJuoAekZV-DOawIxgK4JPfxHGGCqkFpoD2i69O1pHA~~&ka=search-list-1yGQl9q2wIO.search.30
30,职位详情,APP全栈工程师,成都岛主科技,杭州,15-30K,5-10年,本科,https://www.zhipin.com/job_detail/e1d597ee2eae2cf91XZ_3921ElFX.html?securityId=Hasb974s81-tX-h1w-V6U-YcauNEaBu6Rn0fzCPTH1iAXgs_aD1zT79R3Dm2OAPcolMzkYoNCcezF6OxCbkFeHxjR-gzxqwgrY2OOIZVrNtMJPTrHQ7JfMpxfiJebXYSqKPTs1igPA_j&ka=search-list-1yGQl9q2wIO.search.31
31,职位详情,全栈开发工程师,深度求索,杭州,30-60K·14薪,经验不限,本科,https://www.zhipin.com/job_detail/2adca0f283bff7601H1z3t25EFZR.html?securityId=zm7xQthfEgg5a-y1ePSr3hl9oN3VbcoCApg-3wX1EBixNEwnL0kujOk0XahlWsFrmGPpwr7xpolYSMdKO7pT2kT9Ja3ImYJPduqjk4fTnwJMZDWN15v9QG6MAtEIlCIvB15Y3MVo0XHs&ka=search-list-1yGQl9q2wIO.search.32
32,职位详情,全栈开发工程师,杭州繁星未来技术开发,杭州,25-40K,3-5年,学历不限,https://www.zhipin.com/job_detail/78edabbe588dc0ef03F_2d29F1dX.html?securityId=fSdRiZQMvjODw-e12Z0TPPfUkaErMCHSMcELNs_XoeQ6vDX4eSsw_9DSWrife1AdgLfRyygS48mdf7vXqkzPbukOogxltIK5wJ5tCto57FJOy50_d8wKVpf6Qq9FWw-a1ge9r9WFxwKJXw~~&ka=search-list-1yGQl9q2wIO.search.33
